id,text,difficulty,category,status,group
w_60dc9ed0e4,балансування,easy,actions,core,
w_bda7427863,балет,easy,movies,core,balet1
w_a78734de9e,балетки,easy,clothing,core,balet1
w_14abddd0eb,балкон,easy,home,core,
w_50923d87b9,бамбук,easy,nature,core,
w_f089502e5a,бампер,easy,transport,core,
w_f13a20c327,банан,easy,food,core,
w_e018088a94,банда,easy,people,core,
w_f7ac5d98fd,бандура,easy,music,core,
w_e77b5f09cf,банер,easy,internet,core,
w_88bdf28486,банк,easy,places,core,bank
w_474b02586c,банка,easy,home,core,bank
w_003d5546a9,банкет,easy,events,core,bank
w_de912cdb31,банкір,easy,professions,core,bank
w_601bf77c08,банкомат,easy,places,core,bank
w_1fdf08c572,бант,easy,clothing,core,
w_9c0c6cdb41,бантик,easy,holidays,core,
w_103f230510,бар,easy,places,core,
w_9e396ca9ac,барабан,easy,music,core,baraban
w_d9ceb52260,барабанщик,easy,professions,core,baraban
w_012a3de662,баракуда,easy,animals,core,
w_1073a339f4,баран,easy,animals,core,
w_71c1a9aae4,барбі,easy,brands,core,
w_da574c8b82,барвінок,medium,nature,core,
w_ec41a9ee06,барліг,easy,animals,core,
w_b466a759a5,бармен,easy,professions,core,
w_21464858ed,барс,easy,animals,core,
w_d62a60141e,Барселона,easy,cities,core,
w_d45cdaae51,бас,easy,music,core,bass
w_044b3fdad5,бас-гітара,easy,music,core,bass
w_7ea7079024,басейн,easy,places,core,basik
w_7ba4a4f0e9,басейн з кульками,medium,games,core,basik
w_61e6e6145f,баскетбол,easy,sports,core,
w_078dec5289,батарейка,easy,technology,core,bat
w_a9b73171f7,батон,easy,food,core,
w_7e616afab1,батут,easy,sports,core,
w_35d059db6a,батьки,easy,family,core,father
w_1617c7b329,батько,easy,family,core,father
w_46edcd7bf4,баян,easy,music,core,
w_a62ecfce54,бджола,easy,animals,core,
w_cec4a1a36c,бегемот,easy,animals,core,
w_573a8fa185,безвіз,easy,travel,core,
w_6dcc909756,безе,easy,food,core,
w_f489e3ac77,безпека,easy,abstract,core,
w_57994949e4,безсоння,easy,body,core,
w_1eb9954b9e,безхатько,easy,people,core,
w_ea6c6edb96,бейсбол,easy,sports,core,
w_54806c4eb0,бекон,easy,food,core,
w_98ac0cef9d,бекпекінг,medium,travel,core,
w_e19a910cc9,берег,easy,nature,core,beret
w_2c31d569d1,береза,easy,nature,core,
w_b0a78a121b,берет,easy,clothing,core,beret
w_1025a3cce9,беркут,easy,animals,core,
w_7299114796,Берлін,easy,cities,core,
w_f8f59d25c4,бешкетування,medium,actions,core,
w_47a736ac37,бивень,medium,animals,core,
w_42e0f2c3eb,бик,easy,animals,core,
w_34c3de1eec,бинт,easy,body,core,
w_5a1ef95e59,бирка,medium,travel,core,
w_b0a439e0fc,бита,easy,sports,core,
w_8c1f88f2fe,битва,easy,history,core,
w_0dea3558d5,біатлон,easy,sports,core,
w_732d5bbd5b,бібліотекар,easy,professions,core,biblioteka
w_3940fee0c3,біг,easy,actions,core,run
w_def6c33ccf,біг на місці,medium,actions,core,run
w_6a51880194,бігун,easy,professions,core,run
w_8dcf500297,бізнес,easy,work,core,bussiness
w_6bb118a5f2,бізнес-клас,easy,travel,core,bussiness
w_10b05febc0,бізон,medium,animals,core,
w_36f24f1e2c,бійка,easy,actions,core,
w_fa568835d1,бікіні,easy,clothing,core,
w_bd87029aa2,білка,easy,animals,core,
w_457ed1deed,біль,easy,body,core,
w_b67ef7ec05,бінго,easy,games,core,
w_c1c77be679,біолог,easy,professions,core,
w_809405107a,біс,easy,movies,core,
w_f12691dffe,біт,easy,music,core,
w_3e7d10e4b4,благодійний вечір,medium,events,core,
w_bae1dbb6c0,блаженство,easy,emotions,core,
w_092dd13d13,бланк,medium,work,core,
w_8715857bd2,блекаут,easy,events,core,
w_58434b1bb7,блендер,easy,home,core,
w_ea274202a8,блеф,medium,behavior,reject,
w_97b4b09073,близнюк,easy,family,core,blyznyuk
w_172db90b93,близнючка,easy,family,core,blyznyuk
w_595f2f6f79,близнята,easy,family,core,blyznyuk
w_45a2fec470,близькість,easy,relationships,core,blyznyuk
w_14e1c49e6e,блискавка,easy,nature,core,
w_8fbed4e77b,блог,easy,internet,core,
w_8df1df4c78,блок живлення,medium,technology,core,
w_e902dc5f5a,блокнот,easy,school,core,
w_951b383d1d,блокпост,easy,places,core,
w_576c4eeb27,блоха,easy,animals,core,
w_fd1d27ca7d,блузка,easy,clothing,core,
w_aaaa70518a,блюдце,easy,home,core,
w_998454674f,блюз,medium,music,core,
w_0ececf7412,блютуз,easy,technology,core,
w_0cb8d576f7,бобер,easy,animals,core,
w_55ae880ddb,богатир,easy,people,core,
w_3faf0e64c3,богомол,easy,animals,core,
w_a1d0b406bd,боді,easy,clothing,core,body
w_a3bb7dcfc6,бойовик,easy,movies,core,
w_7e2a0f35df,бокс,easy,sports,core,box
w_cea89d93c2,боксер,easy,professions,core,box
w_64c02ccb65,боксерська груша,easy,sports,core,box
w_574918fd92,болгарка,easy,tools,core,
w_15985bb7fc,болото,easy,nature,core,swamp_gold
w_87098e59fb,болт,easy,tools,core,
w_79ea6d9adf,бомбер,medium,clothing,core,
w_68a27a7af9,бонус,easy,work,core,
w_e9d6315467,борг,easy,society,reject,
w_33e10cf210,бордюр,easy,transport,core,
w_a61db5f28b,боржомі,easy,brands,core,
w_95869e38a8,борода,easy,body,core,
w_32510acd62,боротьба,easy,actions,core,
w_b8fef91151,борошно,easy,food,core,
w_6b21418d98,борсук,easy,animals,core,
w_d0bdbb9929,борщ,easy,food,core,
w_f9a18832d8,бос,easy,people,core,
w_46c4971907,босоніжки,easy,clothing,core,
w_0c4a19ccf6,ботанічний сад,easy,places,core,
w_2cca786dbd,боулінг,easy,places,core,
w_2350842a24,боягуз,easy,people,core,
w_b65a9009ad,браслет,easy,clothing,core,
w_4fcce0e49f,брат,easy,family,core,
w_97b70443ab,браузер,easy,internet,core,
w_0fb87fa56f,брауні,easy,food,core,
w_fe0790c34d,брехня,easy,behavior,reject,
w_09939b310f,бриджі,easy,clothing,core,
w_0f430e5bb8,бринза,easy,food,core,
w_53479f1495,бритва,easy,home,core,
w_fc7e2f8777,брифінг,easy,events,core,
w_405df99833,брови,easy,body,core,
w_4652fc5e91,броколі,easy,food,core,
w_2112605ea7,бронежилет,easy,clothing,core,
w_3fdf3d71ce,броненосець,medium,animals,core,bron
w_d06b258aa7,бронь,easy,travel,core,bron
w_efc9c46029,бронювання,medium,travel,core,bron
w_a5c9455f1e,броня,easy,history,core,bron
w_ee1ad4f894,брошка,medium,clothing,core,
w_aced23fff7,брунька,medium,nature,core,
w_543df387ba,Брюссель,easy,cities,core,
w_8f45f0804a,брязкальце,medium,games,core,
w_a54719a21d,бублик,easy,food,core,
w_877f641982,бубон,easy,music,core,
w_201dff0db7,Будапешт,easy,cities,core,
w_54a6de717b,будень,easy,events,core,
w_2bf089bc60,будинок,easy,home,core,house
w_445db7fbb9,будинок культури,medium,places,core,house
w_64cb28a0ca,будівельник,easy,professions,core,
w_9312d4f60e,буйвіл,easy,animals,core,
w_32f549b7a2,бук,easy,nature,core,
w_9f89d0282f,буквар,easy,school,core,
w_07bebafa6e,булава,easy,history,core,
w_d1ef5e89e1,булочка,easy,food,core,
w_e4a4710518,бульдог,easy,animals,core,
w_42f4996d04,бульдозер,easy,transport,core,
w_503dbc6df7,бульйон,easy,food,core,
w_279132475b,бункер,easy,places,core,
w_18b00ed06e,бурулька,easy,nature,core,
w_8bec647022,бурундук,medium,animals,core,
w_a4eb92b32b,буря,easy,nature,core,
w_4db00c3ce8,буряк,easy,food,core,
w_788e5651ad,бутерброд,easy,food,core,
w_fb31686289,бутси,easy,clothing,core,
w_652e6b479c,буфет,easy,places,core,
w_d3d7bf2f75,бухгалтер,easy,professions,core,
w_aceb173a6c,бухта,easy,places,core,
w_dfa5e6d737,бюджет,easy,society,reject,
w_836f90c0d3,бюстгальтер,easy,clothing,core,
w_6eb2a444ea,в'єтнамки,easy,clothing,core,
w_675d47fc11,в'язання,easy,actions,core,
w_0bbc7d7bb2,в'язниця,easy,places,core,
w_6b351beafc,вага,easy,science,core,weight
w_142e0c926f,ваги,easy,home,core,weight
w_48ea0f4d87,вагон,easy,transport,core,
w_a79d854182,важка атлетика,easy,sports,core,
w_69322d2243,ваза,easy,home,core,
w_9fb1940b0d,вайфай,easy,internet,core,
w_a26ffc302f,вакансія,easy,work,core,
w_068ae846f6,Валентинів день,medium,holidays,core,
w_6089eabbba,валентинка,easy,holidays,core,
w_c276c8771e,валик,easy,tools,core,
w_39faf3aa71,валіза,easy,travel,core,
w_d4468ebfe3,вальс,easy,music,core,
w_c1d114e00a,валянки,easy,clothing,core,
w_26a8f5ff2f,вампір,easy,people,core,
w_b487be0501,ваніль,easy,food,core,
w_7b016f7d63,ванна,easy,home,core,
w_602c14ce50,вантажівка,easy,transport,core,vantaj
w_5e3ede7457,вантажник,easy,professions,core,vantaj
w_0e453c6fb4,варан,easy,animals,core,
w_c6e90871d7,вареник,easy,food,core,
w_9a603ef52c,варення,easy,food,core,
w_62b0d47bdb,варіант,easy,abstract,core,
w_34da537a70,Варшава,easy,cities,core,
w_8d828794b3,вата,easy,body,core,
w_5525e6980c,ваучер,easy,travel,core,
w_df405644bd,вафлі,easy,food,core,
w_deccc40543,Вашингтон,easy,cities,core,
w_679537f1d9,ввічливість,easy,behavior,core,
w_9fae7de630,вдячність,easy,emotions,core,
w_1b4ff5dd38,вебкамера,easy,technology,core,
w_b0598a8224,вебсайт,easy,internet,core,
w_6d7b8c05a4,ведмедик,easy,games,core,vedmed
w_d53e4894a0,ведмідь,easy,animals,core,vedmed
w_24afaeb8c8,ведучий,easy,professions,core,
w_13ecff20ba,вежа,easy,places,core,
w_89b9a6465e,Великдень,easy,holidays,core,
w_f0eea20f49,великодній кошик,medium,holidays,core,
w_40aeb5964b,велосипед,easy,transport,core,velo
w_bcf17b9a23,велоспорт,easy,sports,core,velo
w_21e46dd629,Венеція,easy,cities,core,
w_4f0569c3d7,вентилятор,easy,home,core,
w_0f50c97d4d,веранда,easy,home,core,
w_d99adae50b,верба,easy,nature,core,
w_1bb588d3c9,верблюд,easy,animals,core,
w_34786abc42,Вербна неділя,medium,holidays,core,
w_39abb6b894,вертоліт,easy,transport,core,
w_dbf52acce3,вершина,easy,nature,core,
w_a21e55ac3e,вершки,easy,food,core,
w_f1045c3ae7,веселість,easy,emotions,core,
w_cfe37e7b24,веселка,easy,nature,core,
w_de36db00b2,весілля,easy,holidays,core,
w_7ee30d8d01,весло,easy,sports,core,
w_d330997522,веслування,medium,sports,core,
w_1b2574531b,весна,easy,nature,core,
w_9d0df78609,вечеря,easy,food,core,vechir
w_237975198d,вечір,easy,events,core,vechir
w_3ac37f2db0,вечірка,easy,events,core,vechir
w_929022c5de,вечірнє шоу,easy,tv,core,vechir
w_d5a7d21a01,взаємність,easy,relationships,reject,
w_facb992109,вибачення,easy,behavior,core,
w_7291b8340d,вибори,easy,society,reject,
w_57f89de97a,вибух,easy,events,core,
w_1c681f7b17,вивих,easy,body,core,
w_ae294de0f3,виводок,easy,animals,core,
w_4060d1568d,вигул собаки,medium,actions,core,
w_d8b271e956,виделка,easy,home,core,
w_17fa95635f,видра,easy,animals,core,
w_af44c31320,виїзд,easy,travel,core,
w_47959a6e97,викидання сміття,medium,actions,core,
w_4f75d297fb,викрутка,easy,tools,core,
w_092eeae7dc,вила,easy,tools,core,
w_493e8eedc2,виліт,easy,travel,core,
w_3ce133d02f,вим'я,easy,animals,core,
w_df9ca708e0,вимкнення,easy,actions,core,
w_6f0631c311,вина,easy,emotions,reject,
w_ac88dfbc31,вино,easy,drinks,core,
w_b4c7a7c766,виноград,easy,food,core,
w_5152ed6fca,випікання,easy,actions,core,
w_55263325f3,випічка,easy,food,core,
w_046b88ff09,випускний,easy,events,core,vypusk
w_3613017503,випускник,easy,school,core,vypusk
w_2f1c21d22b,вирізання,easy,actions,core,
w_ce1329b1b3,вистава,easy,movies,core,vystava
w_bab669d4f7,вихідний,easy,events,core,
w_7d7b08f3a0,вишиванка,easy,clothing,core,vyshyvanka
w_eb3c973879,вишивання,easy,actions,core,vyshyvanka
w_b60167b4d7,вишневий сік,easy,drinks,core,
w_417430471e,вишня,easy,food,core,
w_dcb12441a6,вівсянка,easy,food,core,
w_6014f9fd83,вівторок,easy,events,core,
w_c507998cde,вівця,easy,animals,core,
w_aafbb86812,вівчарка,easy,animals,core,
w_6918fc61ba,від'їзд,easy,travel,core,
w_4bd8d34d7c,відвідувач,easy,people,core,
w_6cf4e04438,відгадування,easy,actions,core,
w_382fe49209,відданість,easy,relationships,reject,
w_129a7a8f38,відділ,easy,work,core,
w_8b523ae8ca,Відень,easy,cities,core,
w_ce22318116,відеогра,easy,games,core,
w_29e483b057,відеодзвінок,easy,internet,core,
w_a54498f8e4,відеокарта,easy,technology,core,
w_2648f3bc38,відеореєстратор,easy,technology,core,
w_2276f61aed,відерце,easy,games,core,
w_a25d5afe72,віджимання,medium,actions,core,
w_0f0bd303f0,відкривання,medium,actions,core,vidkryvanna
w_25bfc2f6af,відкривачка,easy,home,core,vidkryvanna
w_0ad57c367a,відкритий квиток,medium,travel,core,
w_6e7be425b0,відкриття,easy,events,core,
w_ef718d17c7,відлига,medium,nature,core,
w_13ba1129bb,відмінник,medium,people,core,vidminnyk
w_3f6d610638,відмова,easy,behavior,core,
w_bbfc73a7bb,відповідальність,easy,personality,reject,
w_a4a81db074,відповідь,easy,abstract,reject,
w_6178f9f290,відпустка,easy,travel,core,
w_d9a604ecf3,відраза,easy,emotions,reject,
w_78ace48cd9,відро,easy,home,core,
w_56c0a550ec,відрядження,easy,work,core,
w_662b52d5dc,відчай,easy,emotions,reject,
w_36346d1a62,відьма,easy,people,core,
w_68ef8e6c07,віза,easy,society,core,
w_606bd1751a,візажист,easy,professions,core,
w_a88594e980,візит,easy,travel,core,visytka
w_c2fddd474c,візитка,easy,work,core,visytka
w_754e862bed,вікінг,easy,history,core,
w_8aa8bd9fe2,вікно,easy,home,core,
w_83e18bb519,віко,easy,body,core,
w_644b603f41,вікторина,easy,tv,core,
w_d294f98d1b,вілла,easy,places,core,
w_5c20b54468,вінегрет,easy,food,core,
w_eca3330a18,віник,easy,home,core,vinok
w_2664130f33,вініл,easy,music,core,
w_1ce1e07c43,Вінниця,easy,cities,core,
w_070ba24f78,вінок,easy,clothing,core,vinok
w_fc08ec72fb,вірність,easy,relationships,reject,
w_b3811e5b17,віскі,easy,drinks,core,
w_b25071bc13,вітальня,easy,home,core,
w_5e671e0d1f,вітамін,easy,body,core,
w_272aaf9c2c,вітання,easy,actions,core,
w_3e0586f6db,вітер,easy,nature,core,
w_ef450218a2,вітрильний спорт,medium,sports,core,
w_e4fd9bef7b,вітровка,easy,clothing,core,
w_9572441361,вітчим,easy,family,core,
w_59f1fe2796,вішалка,easy,home,core,
w_42ab2198d6,вказівник,easy,travel,core,
w_c7d960deb1,вкладка,easy,internet,core,
w_f08fd3c512,влада,easy,society,reject,
w_d6970e2370,власник,easy,people,core,
w_b1e554a804,влог,easy,internet,core,
w_6e883100f7,вмивання,easy,actions,core,
w_f44f9d946f,вовк,easy,animals,core,
w_cb09af765b,вогонь,easy,nature,core,
w_5f376105a4,вода,easy,drinks,core,
w_38c31996b8,водень,medium,science,reject,
w_28c8686c90,водій,easy,professions,core,
w_078c6a2bcb,водіння,easy,actions,core,
w_7a858cdf03,водне поло,medium,sports,core,
w_770b72bf64,водний пістолет,medium,games,core,
w_6da57d6480,водолазка,medium,clothing,core,
w_188db31769,водорості,easy,nature,core,
w_e6b97b0e70,водоспад,easy,nature,core,
w_fbf7972262,Водохреще,medium,holidays,core,
w_f85b6542c8,воїн,easy,history,core,
w_a1e007f6a2,вокзал,easy,places,core,vokal
w_8b03d8371a,воланчик,easy,sports,core,
w_165988b38f,волейбол,easy,sports,core,
w_8ad8558999,волонтерський збір,medium,society,core,
w_ff28c926f7,волосся,easy,body,core,
w_2e24c3536a,вольєр,easy,animals,core,
w_c8ae937b09,ворог,easy,people,core,gate_crow
w_ef8f5f7ca4,ворожнеча,medium,relationships,reject,
w_12d563f9c3,ворон,easy,animals,core,gate_crow
w_b5b9bcd515,ворона,easy,animals,core,gate_crow
w_3c1d0bd78a,ворота,easy,home,core,gate_crow
w_1257a80260,воротар,easy,sports,core,gate_crow
w_1042dd921d,восьминіг,easy,animals,core,
w_cbd5a639bc,вояж,easy,travel,core,
w_5584e4b766,впевненість,easy,personality,reject,
w_2b770b56d4,впертість,easy,personality,reject,
w_d325127db8,вправа,easy,school,core,
w_aec69b2f59,всеїдний,easy,animals,core,
w_a7bb084fab,втеча,easy,actions,core,
w_efbebb3fc1,втіха,medium,emotions,reject,
w_f1d131601b,вугілля,easy,nature,core,
w_2c885714d1,вугор,easy,animals,core,
w_8857777117,вуж,easy,animals,core,
w_50d51b7da6,вулик,easy,animals,core,
w_5c06d4dcfe,вулиця,easy,places,core,
w_3c28066b60,вулкан,easy,nature,core,
w_b46c311125,вуса,easy,animals,core,
w_22b0ea402b,вухо,easy,body,core,
w_a0a43daef3,вушанка,medium,clothing,core,
w_23646439dc,вчитель,easy,professions,core,teacher_root
w_59e3bc325d,вчителька,easy,school,core,teacher_root
w_66cb617ad0,вчора,easy,events,core,
w_5f0f089687,гавкіт,easy,animals,core,
w_1598e30f76,гадюка,easy,animals,core,
w_f203dddc31,газ,easy,science,core,
w_588661da40,газель,easy,animals,core,
w_480a7e2055,газета,easy,work,core,
w_f11e8584b3,газована вода,easy,drinks,core,
w_db7555d135,гайка,easy,tools,core,
w_bda46c1c40,гальма,easy,transport,core,halma
w_bfcf3796bb,гальмування,easy,actions,core,halma
w_c5328fb985,гаманець,easy,home,core,
w_12c760cd3e,гамбургер,easy,food,core,
w_6eb9f36228,гандбол,medium,sports,core,
w_b0b69be42a,ганок,easy,home,core,
w_8d4ae42e70,гантель,easy,sports,core,
w_2d161754d2,ганчірка,easy,home,core,
w_755a933c3e,гараж,easy,home,core,
w_c4cc0c7c89,гарбуз,easy,food,core,
w_29a86f72a1,гардероб,easy,home,core,
w_8f77f8c118,гармошка,easy,music,core,
w_d2edcb9592,гарнір,easy,food,core,
w_021de15d0e,гарнітура,easy,technology,core,
w_4082e23c08,гарчання,medium,animals,core,
w_3819c3e892,гарячий шоколад,medium,drinks,core,
w_69fcee5ce2,гасіння,easy,actions,core,
w_558aad476e,гастролі,easy,movies,core,
w_ea36e3353f,гачок,easy,home,core,
w_3c043375de,геймпад,medium,technology,core,
w_dcbecdf1d5,гейт,easy,travel,core,
w_0f5a5b6014,гекон,easy,animals,core,
w_87b60603ea,гелій,easy,science,reject,
w_5701a47c62,геометрія,easy,school,core,geo
w_c33d5e1f47,гепард,easy,animals,core,
w_8a2cd78769,герб,easy,history,reject,
w_918c4687df,гетри,easy,clothing,core,
w_94ccb5de6e,гетьман,easy,history,reject,
w_fab9c9b0e8,гикавка,easy,actions,core,
w_6cca154f0e,гиря,easy,sports,core,
w_ca99e9c050,гід,easy,travel,core,
w_96afffae32,гідрокостюм,easy,clothing,core,
w_4a5ebaa58d,гієна,easy,animals,core,
w_5705357542,гілка,easy,nature,core,
w_b27179ed07,гімнаст,easy,professions,core,gimnast
w_8c2fb60c30,гімнастика,easy,sports,core,gimnast
w_3abaa51092,гіпс,easy,body,core,
w_02defd9d1b,гірка,easy,games,core,
w_8812f193b3,гірлянда,easy,holidays,core,
w_743732731f,гірчиця,easy,food,core,
w_8910451926,гість,easy,people,core,
w_a251fede16,гітара,easy,music,core,guitar
w_d342cb0056,гітарист,easy,professions,core,guitar
w_ce19f4dce5,гіфка,easy,internet,core,
w_3283e4fe40,гладіатор,easy,history,core,
w_883e1df3c3,глечик,easy,home,core,
w_b79122da57,глина,easy,nature,core,
w_c431af7fb6,глінтвейн,easy,drinks,core,
w_c0e607dc58,глобус,easy,school,core,
w_67ba28b25b,глухар,medium,animals,core,
w_213bc02ad8,гнів,easy,emotions,core,
w_75d08663f2,гніздо,easy,animals,core,
w_086b9c8f80,гном,easy,people,core,
w_ce90ef1701,година,easy,events,core,watch
w_73a6139b53,годинник,easy,home,core,watch
w_b8dcca090c,годівниця,medium,animals,core,
w_1d1197dc3b,годування,easy,actions,core,
w_86882d578c,гойдалка,easy,games,core,
w_0084731e25,гойдання,medium,actions,core,
w_ed0460591d,гол,easy,sports,core,
w_479e939d32,гоління,easy,actions,core,
w_338517a556,голка,easy,tools,core,
w_f67741b522,голова,easy,body,core,
w_d87f672b7f,голос,easy,music,core,
w_957ec62605,голуб,easy,animals,core,holub
w_35eb2c88f5,голубці,easy,food,core,holub
w_389fae23d4,гольф,easy,sports,core,
w_08fc448816,гончар,easy,professions,core,
w_fa2ee56ef6,гора,easy,nature,core,
w_39c681a130,горе,easy,emotions,reject,
w_6c0dfd4382,горила,easy,animals,core,
w_6370f3524e,горілка,easy,drinks,core,
w_ab18d48783,горіх,easy,food,core,horoh
w_a77e73edd4,горло,easy,body,core,
w_706dc73b46,горобець,easy,animals,core,
w_b5ca894035,город,easy,nature,core,horoh
w_c04805044a,горох,easy,food,core,horoh
w_acd16db40c,господар,easy,people,core,hospodar
w_9753cb23b1,господиня,easy,people,core,hospodar
w_56e7f7ac65,гостинність,easy,personality,core,hospodar
w_952e4dedaf,готель,easy,places,core,
w_8a81151755,готівка,easy,work,core,
w_16da925c7f,готування,easy,actions,core,
w_38bc7e6e7b,гра,easy,actions,core,
w_6ece33605b,граблі,easy,tools,core,
w_c399ef8fc3,град,easy,nature,core,
w_e5a9ce91b7,гранат,easy,food,core,grant
w_53f039528f,граніт,easy,nature,core,grant
w_e70698b5ab,графік відключень,medium,events,core,
w_443d387dee,гребінець,easy,home,core,
w_4709ea6f8f,гребля,easy,places,core,
w_c9c1e2bce7,грейпфрут,easy,food,core,
w_022e45da0e,гречка,easy,food,core,
w_b168dcd825,гриб,easy,nature,core,
w_aede46448b,грива,easy,animals,core,
w_077c46dcd0,гривня,easy,work,core,
w_8863a73bcd,грим,easy,movies,core,grim
w_87bf547232,гримаса,easy,actions,core,grim
w_9f0b2e1f7c,гример,easy,professions,core,grim
w_b721dcac43,грип,easy,body,core,
w_921c7a1d54,гриф,easy,animals,core,
w_a5ba1d6c9d,грім,easy,nature,core,grim
w_204b9bef0d,грінки,easy,food,core,
w_6c9eec0305,гроза,easy,nature,core,
w_efd4c55bbd,громада,easy,society,reject,
w_1d8ab15142,громадянин,easy,society,reject,
w_5d437c3dde,гроші,easy,society,core,
w_75c2c7d6e5,грубість,easy,behavior,reject,
w_f9de626f6b,група,easy,people,core,grupa
w_78742c4f77,груша,easy,food,core,grupa
w_cadc0b04cf,губа,easy,body,core,huba
w_61fbb903fb,губка,easy,home,core,huba
w_aac4740506,гугл,easy,brands,core,
w_e3b2276e71,гуляш,easy,food,core,
w_5764f4bfa6,гумка,easy,school,core,
w_524430951e,гумові чоботи,medium,clothing,core,
w_ec787aca9d,гуртожиток,easy,places,core,guru
w_509da3a996,гурток,easy,school,core,guru
w_f05a0e0ebe,гусак,easy,animals,core,huska
w_b237d3761e,гуска,easy,animals,core,huska
w_8899c3d671,ґедзь,easy,animals,core,
w_261a26bce8,ґрунт,easy,nature,core,
w_9387dcf4ae,ґудзик,easy,clothing,core,
w_c2c169cebd,дартс,easy,sports,core,
w_a1f8c2d09f,дарування,easy,actions,core,
w_3502335c93,дах,easy,home,core,
w_67d585a661,дача,easy,places,core,
w_954e1f7128,двері,easy,home,core,
w_0760de56a4,двигун,easy,transport,core,
