word,difficulty,category
годинник,easy,загальне
телевізор,easy,загальне
поїзд,easy,загальне
літак,easy,загальне
корабель,easy,загальне
трактор,easy,загальне
самокат,easy,загальне
м'яч,easy,загальне
хмара,easy,загальне
вітер,easy,загальне
веселка,easy,загальне
ліс,easy,загальне
гора,easy,загальне
озеро,easy,загальне
трава,easy,загальне
гриб,easy,загальне
хліб,easy,загальне
молоко,easy,загальне
морозиво,easy,загальне
сир,easy,загальне
масло,easy,загальне
йогурт,easy,загальне
кефір,easy,загальне
сметана,easy,загальне
сік,easy,загальне
чай,easy,загальне
вода,easy,загальне
цукор,easy,загальне
сіль,easy,загальне
перець,easy,загальне
варення,easy,загальне
шоколад,easy,загальне
цукерка,easy,загальне
печиво,easy,загальне
пиріг,easy,загальне
булочка,easy,загальне
сосиска,easy,загальне
ковбаса,easy,загальне
салат,easy,загальне
суп,easy,загальне
борщ,easy,загальне
гамбургер,easy,загальне
макарони,easy,загальне
рис,easy,загальне
гречка,easy,загальне
ложка,easy,загальне
виделка,easy,загальне
ніж,easy,загальне
тарілка,easy,загальне
чашка,easy,загальне
склянка,easy,загальне
пляшка,easy,загальне
каструля,easy,загальне
сковорода,easy,загальне
чайник,easy,загальне
холодильник,easy,загальне
плита,easy,загальне
духовка,easy,загальне
мікрохвильовка,easy,загальне
пральна машина,easy,загальне
пилосос,easy,загальне
праска,easy,загальне
віник,easy,загальне
відро,easy,загальне
рушник,easy,загальне
сорочка,easy,загальне
футболка,easy,загальне
светр,easy,загальне
куртка,easy,загальне
пальто,easy,загальне
штани,easy,загальне
джинси,easy,загальне
шорти,easy,загальне
спідниця,easy,загальне
сукня,easy,загальне
шапка,easy,загальне
шарф,easy,загальне
рукавички,easy,загальне
шкарпетки,easy,загальне
черевики,easy,загальне
кросівки,easy,загальне
капці,easy,загальне
ремінь,easy,загальне
око,easy,загальне
вухо,easy,загальне
ніс,easy,загальне
рот,easy,загальне
язик,easy,загальне
зуб,easy,загальне
волосся,easy,загальне
рука,easy,загальне
нога,easy,загальне
палець,easy,загальне
голова,easy,загальне
живіт,easy,загальне
спина,easy,загальне
серце,easy,загальне
дитина,easy,загальне
мама,easy,загальне
тато,easy,загальне
дідусь,easy,загальне
брат,easy,загальне
сестра,easy,загальне
дядько,easy,загальне
тітка,easy,загальне
подруга,easy,загальне
сусід,easy,загальне
учитель,easy,загальне
кухар,easy,загальне
водій,easy,загальне
поліцейський,easy,загальне
пожежник,easy,загальне
пілот,easy,загальне
листоноша,easy,загальне
будівельник,easy,загальне
фермер,easy,загальне
рибалка,easy,загальне
перукар,easy,загальне
продавець,easy,загальне
касир,easy,загальне
офіціант,easy,загальне
музикант,easy,загальне
співак,easy,загальне
художник,easy,загальне
танцюрист,easy,загальне
футболіст,easy,загальне
плавець,easy,загальне
бігун,easy,загальне
садок,easy,загальне
лікарня,easy,загальне
магазин,easy,загальне
аптека,easy,загальне
банк,easy,загальне
пошта,easy,загальне
кафе,easy,загальне
готель,easy,загальне
парк,easy,загальне
пляж,easy,загальне
міст,easy,загальне
дорога,easy,загальне
світлофор,easy,загальне
зупинка,easy,загальне
гараж,easy,загальне
будинок,easy,загальне
квартира,easy,загальне
балкон,easy,загальне
дах,easy,загальне
сходи,easy,загальне
ліфт,easy,загальне
паркан,easy,загальне
ворота,easy,загальне
ключ,easy,загальне
замок,easy,загальне
сумка,easy,загальне
гаманець,easy,загальне
монета,easy,загальне
банкнота,easy,загальне
подарунок,easy,загальне
свічка,easy,загальне
повітряна кулька,easy,загальне
іграшка,easy,загальне
лялька,easy,загальне
ведмедик,easy,загальне
конструктор,easy,загальне
пазл,easy,загальне
шахи,easy,загальне
карти,easy,загальне
доміно,easy,загальне
барабан,easy,загальне
піаніно,easy,загальне
скрипка,easy,загальне
мікрофон,easy,загальне
навушники,easy,загальне
колонка,easy,загальне
фотоапарат,easy,загальне
камера,easy,загальне
ноутбук,easy,загальне
клавіатура,easy,загальне
мишка,easy,загальне
монітор,easy,загальне
принтер,easy,загальне
зарядка,easy,загальне
батарейка,easy,загальне
ліхтарик,easy,загальне
мило,easy,загальне
шампунь,easy,загальне
зубна щітка,easy,загальне
зубна паста,easy,загальне
гребінець,easy,загальне
бритва,easy,загальне
губка,easy,загальне
папір,easy,загальне
ножиці,easy,загальне
клей,easy,загальне
фарба,easy,загальне
пензлик,easy,загальне
мотузка,easy,загальне
молоток,easy,загальне
цвях,easy,загальне
лопата,easy,загальне
граблі,easy,загальне
м'ячик,easy,загальне
санчата,easy,загальне
ковзани,easy,загальне
лижі,easy,загальне
басейн,easy,загальне
стадіон,easy,загальне
театр,easy,загальне
цирк,easy,загальне
зоопарк,easy,загальне
фонтан,easy,загальне
майдан,easy,загальне
вулиця,easy,загальне
тротуар,easy,загальне
село,easy,загальне
країна,easy,загальне
карта,easy,загальне
глобус,easy,загальне
прапор,easy,загальне
вежа,easy,загальне
печера,easy,загальне
острів,easy,загальне
водоспад,easy,загальне
струмок,easy,загальне
болото,easy,загальне
поле,easy,загальне
город,easy,загальне
кущ,easy,загальне
листок,easy,загальне
гілка,easy,загальне
корінь,easy,загальне
насіння,easy,загальне
колосок,easy,загальне
соняшник,easy,загальне
ромашка,easy,загальне
троянда,easy,загальне
тюльпан,easy,загальне
кактус,easy,загальне
каштан,easy,загальне
береза,easy,загальне
дуб,easy,загальне
ялина,easy,загальне
сосна,easy,загальне
клен,easy,загальне
верба,easy,загальне
метелик,easy,загальне
бджола,easy,загальне
оса,easy,загальне
муха,easy,загальне
комар,easy,загальне
мураха,easy,загальне
павук,easy,загальне
жук,easy,загальне
коник,easy,загальне
цвіркун,easy,загальне
равлик,easy,загальне
жаба,easy,загальне
ящірка,easy,загальне
змія,easy,загальне
пінгвін,easy,загальне
папуга,easy,загальне
горобець,easy,загальне
голуб,easy,загальне
ворона,easy,загальне
сова,easy,загальне
лелека,easy,загальне
орел,easy,загальне
чайка,easy,загальне
каченя,easy,загальне
кошеня,easy,загальне
цуценя,easy,загальне
порося,easy,загальне
ягня,easy,загальне
лоша,easy,загальне
курча,easy,загальне
яйце,easy,загальне
гніздо,easy,загальне
пір'я,easy,загальне
хвіст,easy,загальне
лапа,easy,загальне
кіготь,easy,загальне
дзьоб,easy,загальне
ріг,easy,загальне
копито,easy,загальне
вуса,easy,загальне
шерсть,easy,загальне
крила,easy,загальне
усмішка,easy,загальне
сльоза,easy,загальне
сміх,easy,загальне
сон,easy,загальне
поцілунок,easy,загальне
обійми,easy,загальне
дружба,easy,загальне
щастя,easy,загальне
свято,easy,загальне
день народження,easy,загальне
Новий рік,easy,загальне
Великдень,easy,загальне
Різдво,easy,загальне
осінь,easy,загальне
весна,easy,загальне
ранок,easy,загальне
день,easy,загальне
вечір,easy,загальне
ніч,easy,загальне
тиждень,easy,загальне
рік,easy,загальне
понеділок,easy,загальне
п'ятниця,easy,загальне
неділя,easy,загальне
канікули,easy,загальне
відпустка,easy,загальне
валіза,easy,загальне
квиток,easy,загальне
паспорт,easy,загальне
готівка,easy,загальне
черга,easy,загальне
магазинчик,easy,загальне
мороз,easy,загальне
спека,easy,загальне
туман,easy,загальне
блискавка,easy,загальне
грім,easy,загальне
буря,easy,загальне
калюжа,easy,загальне
лід,easy,загальне
пісок,easy,загальне
камінь,easy,загальне
мушля,easy,загальне
хвиля,easy,загальне
берег,easy,загальне
небо,easy,загальне
тінь,easy,загальне
дим,easy,загальне
вогонь,easy,загальне
сірник,easy,загальне
попіл,easy,загальне
серветка,easy,загальне
скатертина,easy,загальне
подряпина,easy,загальне
бинт,easy,загальне
пластир,easy,загальне
апельсиновий сік,easy,загальне
лимонад,easy,загальне
компот,easy,загальне
вареник,easy,загальне
пельмені,easy,загальне
млинець,easy,загальне
омлет,easy,загальне
яєчня,easy,загальне
котлета,easy,загальне
сирник,easy,загальне
вишиванка,easy,загальне
черевик,easy,загальне
ґудзик,easy,загальне
кишеня,easy,загальне
комір,easy,загальне
рукав,easy,загальне
піжама,easy,загальне
халат,easy,загальне
купальник,easy,загальне
дзвінок,easy,загальне
будильник,easy,загальне
пульт,easy,загальне
дріт,easy,загальне
розетка,easy,загальне
вимикач,easy,загальне
лампочка,easy,загальне
дзвіночок,easy,загальне
конверт,easy,загальне
лист,easy,загальне
марка,easy,загальне
газета,easy,загальне
журнал,easy,загальне
афіша,easy,загальне
календар,easy,загальне
щоденник,easy,загальне
альбом,easy,загальне
картина,easy,загальне
рамка,easy,загальне
магніт,easy,загальне
сувенір,easy,загальне
ігровий кубик,easy,загальне
свисток,easy,загальне
медаль,easy,загальне
кубок,easy,загальне
поразка,easy,загальне
сусідка,easy,загальне
онук,easy,загальне
свобода,medium,загальне
дружелюбність,medium,загальне
чесність,medium,загальне
сміливість,medium,загальне
терпіння,medium,загальне
надія,medium,загальне
довіра,medium,загальне
заздрість,medium,загальне
гордість,medium,загальне
образа,medium,загальне
ревнощі,medium,загальне
звичка,medium,загальне
талант,medium,загальне
характер,medium,загальне
настрій,medium,загальне
успіх,medium,загальне
удача,medium,загальне
випадок,medium,загальне
мрія,medium,загальне
натхнення,medium,загальне
спогад,medium,загальне
секрет,medium,загальне
сюрприз,medium,загальне
комплімент,medium,загальне
обіцянка,medium,загальне
пригода,medium,загальне
відпочинок,medium,загальне
туризм,medium,загальне
маршрут,medium,загальне
компас,medium,загальне
маяк,medium,загальне
лабіринт,medium,загальне
перехрестя,medium,загальне
тунель,medium,загальне
вулкан,medium,загальне
пустеля,medium,загальне
айсберг,medium,загальне
джунглі,medium,загальне
галявина,medium,загальне
горище,medium,загальне
підвал,medium,загальне
вистава,medium,загальне
репетиція,medium,загальне
глядач,medium,загальне
сцена,medium,загальне
оплески,medium,загальне
оркестр,medium,загальне
диригент,medium,загальне
експонат,medium,загальне
галерея,medium,загальне
скульптура,medium,загальне
портрет,medium,загальне
пейзаж,medium,загальне
шедевр,medium,загальне
карикатура,medium,загальне
естафета,medium,загальне
турнір,medium,загальне
чемпіон,medium,загальне
арбітр,medium,загальне
тренер,medium,загальне
команда,medium,загальне
перерва,medium,загальне
рекорд,medium,загальне
марафон,medium,загальне
мандрівник,medium,загальне
скульптор,medium,загальне
сценарист,medium,загальне
фотограф,medium,загальне
редактор,medium,загальне
блогер,medium,загальне
детектив,medium,загальне
фокусник,medium,загальне
астронавт,medium,загальне
винахідник,medium,загальне
дослідник,medium,загальне
археолог,medium,загальне
ветеринар,medium,загальне
кондитер,medium,загальне
бариста,medium,загальне
ювелір,medium,загальне
гонщик,medium,загальне
рятувальник,medium,загальне
традиція,medium,загальне
культура,medium,загальне
символ,medium,загальне
легенда,medium,загальне
міф,medium,загальне
ритуал,medium,загальне
церемонія,medium,загальне
карнавал,medium,загальне
маскарад,medium,загальне
феєрверк,medium,загальне
парад,medium,загальне
ярмарок,medium,загальне
виставка,medium,загальне
конференція,medium,загальне
лекція,medium,загальне
екзамен,medium,загальне
диплом,medium,загальне
стипендія,medium,загальне
університет,medium,загальне
лабораторія,medium,загальне
майстерня,medium,загальне
майстер,medium,загальне
геній,medium,загальне
чемність,medium,загальне
скромність,medium,загальне
хитрість,medium,загальне
мудрість,medium,загальне
цікавість,medium,загальне
уява,medium,загальне
фантазія,medium,загальне
ілюзія,medium,загальне
мотивація,medium,загальне
енергія,medium,загальне
хаос,medium,загальне
гармонія,medium,загальне
порядок,medium,загальне
рівновага,medium,загальне
ризик,medium,загальне
можливість,medium,загальне
рішення,medium,загальне
вибір,medium,загальне
компроміс,medium,загальне
дискусія,medium,загальне
суперечка,medium,загальне
аргумент,medium,загальне
перемир'я,medium,загальне
переговори,medium,загальне
доказ,medium,загальне
натяк,medium,загальне
жарт,medium,загальне
іронія,medium,загальне
сарказм,medium,загальне
плітка,medium,загальне
репутація,medium,загальне
авторитет,medium,загальне
лідер,medium,загальне
натовп,medium,загальне
суспільство,medium,загальне
компанія,medium,загальне
колекція,medium,загальне
колекціонер,medium,загальне
скарб,medium,загальне
таємниця,medium,загальне
шифр,medium,загальне
код,medium,загальне
пароль,medium,загальне
карта скарбів,medium,загальне
робот,medium,загальне
дрон,medium,загальне
супутник,medium,загальне
ракета,medium,загальне
орбіта,medium,загальне
телескоп,medium,загальне
комета,medium,загальне
сузір'я,medium,загальне
галактика,medium,загальне
планета,medium,загальне
фізика,medium,загальне
історія,medium,загальне
математика,medium,загальне
література,medium,загальне
поезія,medium,загальне
роман,medium,загальне
комедія,medium,загальне
драма,medium,загальне
казка,medium,загальне
байка,medium,загальне
приказка,medium,загальне
прислів'я,medium,загальне
абетка,medium,загальне
акваріум,medium,загальне
амулет,medium,загальне
анекдот,medium,загальне
аплодисменти,medium,загальне
арена,medium,загальне
аромат,medium,загальне
асортимент,medium,загальне
атракціон,medium,загальне
аукціон,medium,загальне
багаж,medium,загальне
банкрутство,medium,загальне
барикада,medium,загальне
батарея,medium,загальне
блиск,medium,загальне
бурштин,medium,загальне
вакцина,medium,загальне
валюта,medium,загальне
велетень,medium,загальне
версія,medium,загальне
винагорода,medium,загальне
випробування,medium,загальне
висновок,medium,загальне
виступ,medium,загальне
вітрина,medium,загальне
вогнище,medium,загальне
волонтер,medium,загальне
ворожіння,medium,загальне
враження,medium,загальне
гаджет,medium,загальне
гарантія,medium,загальне
генерал,medium,загальне
герой,medium,загальне
героїзм,medium,загальне
гімн,medium,загальне
гіпноз,medium,загальне
головоломка,medium,загальне
гороскоп,medium,загальне
господарство,medium,загальне
графік,medium,загальне
декорація,medium,загальне
делегація,medium,загальне
депозит,medium,загальне
дефіцит,medium,загальне
джекпот,medium,загальне
джерело,medium,загальне
діалог,medium,загальне
діамант,medium,загальне
динаміка,medium,загальне
дистанція,medium,загальне
добробут,medium,загальне
долина,medium,загальне
домовленість,medium,загальне
досвід,medium,загальне
дракон,medium,загальне
дублер,medium,загальне
екіпаж,medium,загальне
екологія,medium,загальне
економія,medium,загальне
експедиція,medium,загальне
експерт,medium,загальне
екстрим,medium,загальне
елемент,medium,загальне
емоція,medium,загальне
енциклопедія,medium,загальне
епідемія,medium,загальне
епоха,medium,загальне
естетика,medium,загальне
ефект,medium,загальне
жест,medium,загальне
журі,medium,загальне
загадка,medium,загальне
закон,medium,загальне
замітка,medium,загальне
засідка,medium,загальне
захоплення,medium,загальне
звіт,medium,загальне
здібність,medium,загальне
землетрус,medium,загальне
змагання,medium,загальне
знахідка,medium,загальне
золото,medium,загальне
ідеал,medium,загальне
ілюстрація,medium,загальне
імідж,medium,загальне
імперія,medium,загальне
інвестор,medium,загальне
інгредієнт,medium,загальне
інженер,medium,загальне
інструкція,medium,загальне
інструмент,medium,загальне
інтелект,medium,загальне
інтерв'ю,medium,загальне
капітан,medium,загальне
кар'єра,medium,загальне
катастрофа,medium,загальне
кваліфікація,medium,загальне
квартал,medium,загальне
синестезія,hard,загальне
парадокс,hard,загальне
еволюція,hard,загальне
інновація,hard,загальне
концепція,hard,загальне
гіпотеза,hard,загальне
теорія,hard,загальне
аксіома,hard,загальне
алгоритм,hard,загальне
абстракція,hard,загальне
асиметрія,hard,загальне
симетрія,hard,загальне
метафора,hard,загальне
саркофаг,hard,загальне
утопія,hard,загальне
ностальгія,hard,загальне
ейфорія,hard,загальне
харизма,hard,загальне
емпатія,hard,загальне
егоїзм,hard,загальне
соціологія,hard,загальне
архітектура,hard,загальне
кібербезпека,hard,загальне
молекула,hard,загальне
атом,hard,загальне
протон,hard,загальне
нейрон,hard,загальне
ДНК,hard,загальне
вірус,hard,загальне
бактерія,hard,загальне
імунітет,hard,загальне
гравітація,hard,загальне
інерція,hard,загальне
магнетизм,hard,загальне
туманність,hard,загальне
астероїд,hard,загальне
екватор,hard,загальне
меридіан,hard,загальне
атмосфера,hard,загальне
біосфера,hard,загальне
літосфера,hard,загальне
тектоніка,hard,загальне
ерозія,hard,загальне
протока,hard,загальне
каньйон,hard,загальне
дельта,hard,загальне
лагуна,hard,загальне
оазис,hard,загальне
перископ,hard,загальне
калейдоскоп,hard,загальне
телепортація,hard,загальне
голограма,hard,загальне
хронологія,hard,загальне
ієрогліф,hard,загальне
каліграфія,hard,загальне
диктатура,hard,загальне
республіка,hard,загальне
бюрократія,hard,загальне
дипломатія,hard,загальне
конституція,hard,загальне
санкції,hard,загальне
референдум,hard,загальне
інфляція,hard,загальне
монополія,hard,загальне
інвестиція,hard,загальне
апокаліпсис,hard,загальне
асиміляція,hard,загальне
атрофія,hard,загальне
біохімія,hard,загальне
біоритм,hard,загальне
вердикт,hard,загальне
відносність,hard,загальне
волатильність,hard,загальне
геноцид,hard,загальне
деградація,hard,загальне
дедукція,hard,загальне
демографія,hard,загальне
децентралізація,hard,загальне
диверсифікація,hard,загальне
диференціал,hard,загальне
дисбаланс,hard,загальне
дисонанс,hard,загальне
евакуація,hard,загальне
екосистема,hard,загальне
еластичність,hard,загальне
ергономіка,hard,загальне
жонглювання,hard,загальне
ідентичність,hard,загальне
ієрархія,hard,загальне
ізоляція,hard,загальне
ілюмінатор,hard,загальне
імпровізація,hard,загальне
імунізація,hard,загальне
індукція,hard,загальне
інертність,hard,загальне
інтерпретація,hard,загальне
інтуїтивність,hard,загальне
каталізатор,hard,загальне
класифікація,hard,загальне
компенсація,hard,загальне
конспірація,hard,загальне
конфігурація,hard,загальне
координація,hard,загальне
кореляція,hard,загальне
кристалізація,hard,загальне
кульмінація,hard,загальне
легітимність,hard,загальне
локалізація,hard,загальне
маніпуляція,hard,загальне
методологія,hard,загальне
міграція,hard,загальне
мікроорганізм,hard,загальне
міліметр,hard,загальне
міфологія,hard,загальне
модернізація,hard,загальне
нейромережа,hard,загальне
обсерваторія,hard,загальне
оксюморон,hard,загальне
оптимізація,hard,загальне
організація,hard,загальне
панорама,hard,загальне
турбулентність,hard,загальне
резонанс,hard,загальне
полярність,hard,загальне
термодинаміка,hard,загальне
фотосинтез,hard,загальне
ферментація,hard,загальне
мутація,hard,загальне
реплікація,hard,загальне
хромосома,hard,загальне
евтаназія,hard,загальне
криптовалюта,hard,загальне
блокчейн,hard,загальне
колонізація,hard,загальне
тоталітаризм,hard,загальне
олігархія,hard,загальне
дивіденд,hard,загальне
ліквідність,hard,загальне
арбітраж,hard,загальне
амортизація,hard,загальне
юриспруденція,hard,загальне
імплементація,hard,загальне
екстрадиція,hard,загальне
